 variables= "t"  "u"
0.155989    0.205435
0.194986    0.449926
0.194986    0.720313
0.233983    1.016307
0.292479    1.299353
0.409471    1.595060
0.526462    1.452999
0.662953    1.310866
0.779944    1.490693
0.896936    1.631894
1.013928    1.476957
1.111421    1.347843
1.247911    1.501847
1.325905    1.694693
1.423398    1.784463
1.520891    1.629598
1.657382    1.410212
1.774373    1.602915
1.910864    1.782670
2.027855    1.601982
2.164345    1.421223
2.359331    1.227372
2.554318    1.007771
2.866295    0.903619
2.983287    0.761557
3.100279    1.031513
3.295265    1.262556
3.529248    1.004184
3.626741    1.287087
3.704735    1.557187
3.821727    1.801392
3.977716    1.556183
4.075209    1.388442
4.172702    1.722847
4.309192    1.992731
4.465181    1.734647
4.562674    1.528280
4.660167    1.721054
4.796657    1.913685
4.972145    1.642653
5.089136    1.474841
5.186630    1.680491
5.342618    1.795797
5.479109    1.589286
5.576602    1.421545
5.732591    1.717109
5.810585    1.858453
5.966574    1.664746
6.083565    1.445431
6.181058    1.715459
6.317549    1.908090
6.454039    1.688704
6.551532    1.482336
6.707521    1.726398
6.824513    1.931976
